  T/S       O-cavity       Oesophagus-s   Oesophagus-f   St-wall        St-cont        SI-cont        RC-cont        LC-cont        RS-cont        ET1-sur        ET2-sur        ET2-seq        LN-ET          Bronchi        Bronchi-q      Brchiole       Brchiole-q     ALV            LN-Th          Blood          Liver          Kidneys        Thyroid        S-glands       UB-cont        Other          
GB-wall    1.57554831E-19 3.48777799E-17 3.48777799E-17 3.03211900E-16 1.70824057E-16 2.05495156E-16 2.72337959E-17 6.09435892E-18 8.99782315E-20 2.01121214E-19 3.87149926E-20 3.87149926E-20 1.07544495E-19 4.55194362E-18 4.55194362E-18 1.57612510E-17 1.57612510E-17 1.57612510E-17 3.92533239E-18 1.06777052E-16 9.36552265E-16 4.18168063E-16 4.18937108E-19 4.44075257E-20 9.37657767E-20 2.09289381E-16
Ureters    1.03784186E-20 1.94472182E-18 1.94472182E-18 6.62564064E-17 3.90226105E-17 4.27124230E-16 2.20988203E-16 2.15124237E-16 3.25530219E-16 1.87294431E-21 4.50644180E-21 4.50644180E-21 5.63789884E-21 2.24865470E-19 2.24865470E-19 8.48464602E-19 8.48464602E-19 8.49089451E-19 2.13185603E-19 9.72008431E-17 3.43202225E-17 3.04317402E-16 1.48640321E-20 8.56507528E-21 2.44331914E-16 2.41870494E-16
UB-wall    0.00000000E+00 2.71280523E-21 2.71280523E-21 1.95769945E-19 6.75061041E-20 2.49603075E-16 2.90522662E-17 5.09748471E-17 6.87878453E-16 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 1.50859336E-21 1.50859336E-21 1.50859336E-21 0.00000000E+00 7.56820107E-17 6.03988492E-20 2.73491526E-19 1.32991864E-23 0.00000000E+00 4.14066491E-15 2.36053399E-16
Ovaries    0.00000000E+00 0.00000000E+00 0.00000000E+00 7.01753301E-20 4.45260868E-20 3.23976107E-16 1.18343164E-17 1.38109215E-17 1.26370068E-15 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 4.35295330E-16 5.66032931E-20 2.88471876E-19 0.00000000E+00 0.00000000E+00 6.06792301E-16 2.49327068E-16
Testes     0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00
Prostate   0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00
Uterus     0.00000000E+00 5.36056209E-22 5.36056209E-22 9.77487875E-20 5.85114853E-20 3.26699807E-16 1.11123757E-17 1.94840683E-17 1.47855255E-15 7.51196468E-22 0.00000000E+00 0.00000000E+00 0.00000000E+00 9.25417139E-23 9.25417139E-23 2.45004828E-21 2.45004828E-21 2.45004828E-21 6.60321017E-22 9.02377841E-17 4.38483661E-20 2.51814078E-19 6.94559529E-22 0.00000000E+00 1.37447516E-15 2.44887564E-16
LN-Sys     1.74781433E-17 3.22277800E-16 3.22277800E-16 2.02611239E-16 1.50662268E-16 2.96050171E-16 1.70599752E-16 2.22542314E-16 2.06408397E-16 2.48577682E-18 3.98990011E-17 3.98990011E-17 5.97339460E-17 2.78233969E-16 2.78233969E-16 1.06612028E-16 1.06612028E-16 1.06612028E-16 2.73459483E-16 2.20459485E-16 6.03139339E-17 1.64719765E-16 2.39557428E-16 8.99622097E-17 1.14060546E-16 2.39617392E-16
Skin       9.99549845E-18 6.50675915E-18 6.50675915E-18 1.08677233E-17 9.18896281E-18 7.32290785E-18 1.01678926E-17 9.93141139E-18 6.93470049E-18 2.88023267E-17 8.08666538E-18 8.08666538E-18 1.58967951E-17 1.00871429E-17 1.00871429E-17 1.26446973E-17 1.26446973E-17 1.26446973E-17 1.04742288E-17 1.51303139E-16 1.03458944E-17 8.02898703E-18 2.18504829E-17 2.57501805E-17 1.06044857E-17 2.16765479E-16
Adipose    1.16202656E-17 1.20345885E-17 1.20345885E-17 1.84170187E-17 1.34992982E-17 2.36064684E-17 2.04245459E-17 2.34366377E-17 3.05823448E-17 2.81085843E-17 2.04629981E-17 2.04629981E-17 1.75246064E-17 1.81494552E-17 1.81494552E-17 1.57332129E-17 1.57332129E-17 1.57332129E-17 2.16229739E-17 5.40846717E-17 1.05227747E-17 1.91155677E-17 1.95337357E-17 1.66978833E-17 1.73611844E-17 2.27624995E-16
Muscle     2.17271153E-17 2.25970972E-17 2.25970972E-17 1.91219764E-17 1.42330950E-17 2.42713716E-17 3.83272659E-17 3.78978826E-17 3.32003012E-17 6.15556206E-18 2.93887233E-17 2.93887233E-17 4.61603068E-17 2.54874236E-17 2.54874236E-17 2.91083424E-17 2.91083424E-17 2.91083424E-17 2.72850656E-17 8.79146282E-17 1.56213810E-17 3.36104583E-17 4.58943455E-17 2.69998782E-17 2.18408699E-17 2.44839527E-16
