  T/S       O-cavity       Oesophagus-s   Oesophagus-f   St-cont        SI-cont        RC-cont        LC-cont        RS-cont        ET1-sur        ET2-sur        ET2-seq        LN-ET          Bronchi        Bronchi-q      Brchiole       Brchiole-q     ALV            LN-Th          Blood          UB-cont        C-bone-S       C-bone-V       T-bone-S       T-bone-V       Kidneys        Liver          Pancreas       Muscle         Other          
Spleen     8.88903537E-17 1.15061907E-15 1.15061907E-15 6.91643568E-15 1.00724029E-15 2.12528711E-16 3.76815888E-16 9.02025362E-17 6.66104874E-17 8.94270828E-17 8.94270828E-17 1.14054138E-16 5.90450101E-16 5.90450101E-16 1.37742317E-15 1.37742317E-15 1.37742317E-15 4.70190734E-16 1.09761907E-15 7.06896288E-17 2.88007245E-16 2.88007245E-16 3.15340376E-16 3.15340376E-16 3.13802287E-15 1.03672034E-15 1.61034759E-15 3.45573446E-16 5.77470975E-16
GB-wall    8.24848521E-17 8.48544711E-16 8.48544711E-16 2.47856703E-15 2.13490017E-15 9.06607587E-16 5.08899318E-16 1.31613992E-16 6.92540787E-17 6.87173495E-17 6.87173495E-17 9.03243016E-17 3.79235174E-16 3.79235174E-16 6.80572528E-16 6.80572528E-16 6.80572528E-16 3.28221875E-16 2.80701321E-16 1.24992196E-16 3.94023263E-16 3.94023263E-16 5.40269933E-16 5.40269933E-16 4.18712803E-15 6.81293508E-15 9.22917744E-15 3.01609724E-16 4.52110245E-16
Ureters    2.13922605E-17 1.56035968E-16 1.56035968E-16 8.30600334E-16 3.47800472E-15 2.59584634E-15 2.59728830E-15 2.70735783E-15 2.26483668E-17 1.95449510E-17 1.95449510E-17 2.68556823E-17 9.75773546E-17 9.75773546E-17 1.61355194E-16 1.61355194E-16 1.61355194E-16 8.13457046E-17 2.09997272E-16 2.33004527E-15 5.27100042E-16 5.27100042E-16 9.02089449E-16 9.02089449E-16 2.64471273E-15 7.88382984E-16 3.90899019E-15 5.34614250E-16 6.93017043E-16
UB-wall    6.43834621E-18 2.20844007E-17 2.20844007E-17 9.25272943E-17 2.07898421E-15 8.10172584E-16 9.89744525E-16 4.87990914E-15 6.93486071E-18 5.32931965E-18 5.32931965E-18 5.85002701E-18 1.68484879E-17 1.68484879E-17 2.60626049E-17 2.60626049E-17 2.60626049E-17 1.45791652E-17 2.46671092E-16 2.05879679E-14 4.09019635E-16 4.09019635E-16 4.42633298E-16 4.42633298E-16 1.62717044E-16 8.40149306E-17 1.72586451E-16 5.17551071E-16 6.02239912E-16
Ovaries    6.35166847E-18 2.09116075E-17 2.09116075E-17 8.51668955E-17 2.37218251E-15 6.57901731E-16 6.33260256E-16 8.06199186E-15 5.69253306E-18 3.53632394E-18 3.53632394E-18 4.21468547E-18 1.79251505E-17 1.79251505E-17 2.84290196E-17 2.84290196E-17 2.84290196E-17 1.42758732E-17 8.84978204E-16 5.11254517E-15 4.25393879E-16 4.25393879E-16 4.72273563E-16 4.72273563E-16 1.69686512E-16 7.99502089E-17 1.57170309E-16 6.26114549E-16 7.34221294E-16
Testes     0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00
Prostate   0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00
Uterus     5.44435592E-18 2.19898723E-17 2.19898723E-17 9.17598518E-17 2.63974598E-15 6.29927729E-16 7.76703117E-16 9.98908974E-15 5.48296837E-18 4.18296237E-18 4.18296237E-18 5.71800766E-18 1.57711845E-17 1.57711845E-17 2.72674416E-17 2.72674416E-17 2.72674416E-17 1.52748302E-17 1.32991864E-16 9.96297427E-15 3.98253009E-16 3.98253009E-16 4.41303492E-16 4.41303492E-16 1.67491530E-16 8.12511762E-17 1.61355194E-16 5.76286861E-16 7.42704240E-16
LN-Sys     3.35447691E-16 1.98349449E-15 1.98349449E-15 1.30122366E-15 1.95161118E-15 1.33855437E-15 1.58022667E-15 1.43742468E-15 1.48106797E-16 4.68556514E-16 4.68556514E-16 6.15620293E-16 1.68276596E-15 1.68276596E-15 9.10020223E-16 9.10020223E-16 9.10020223E-16 1.69173815E-15 5.84409895E-16 1.11793467E-15 4.08731244E-16 4.08731244E-16 4.67803491E-16 4.67803491E-16 1.35092317E-15 7.91891750E-16 2.20731855E-15 4.73234869E-16 5.80153676E-16
Skin       2.27012386E-16 2.10958578E-16 2.10958578E-16 2.21388747E-16 2.01329497E-16 2.10846426E-16 2.08843705E-16 2.02162629E-16 2.74116375E-16 2.09132097E-16 2.09132097E-16 2.39493341E-16 2.23471576E-16 2.23471576E-16 2.44524175E-16 2.44524175E-16 2.44524175E-16 2.24480948E-16 3.08883605E-16 2.19770549E-16 2.57854284E-16 2.57854284E-16 2.41239714E-16 2.41239714E-16 2.15893282E-16 2.28951020E-16 1.94616378E-16 2.61667464E-16 3.65344859E-16
Adipose    2.67819822E-16 2.87911115E-16 2.87911115E-16 3.31394185E-16 4.60946175E-16 4.32603673E-16 4.62275982E-16 5.62219751E-16 3.19810449E-16 3.01850050E-16 3.01850050E-16 2.83825565E-16 3.09860933E-16 3.09860933E-16 3.07249385E-16 3.07249385E-16 3.07249385E-16 3.23527498E-16 2.23727925E-16 4.47535958E-16 3.06368188E-16 3.06368188E-16 2.91147511E-16 2.91147511E-16 4.01489406E-16 2.99831308E-16 3.57733966E-16 3.94231546E-16 5.01448218E-16
Muscle     2.76055009E-16 3.84714618E-16 3.84714618E-16 2.78570426E-16 4.07657785E-16 4.67963708E-16 4.69453732E-16 5.20755424E-16 1.29733037E-16 3.30416857E-16 3.30416857E-16 4.16373625E-16 3.77312563E-16 3.77312563E-16 3.75950713E-16 3.75950713E-16 3.75950713E-16 3.86204642E-16 3.14747571E-16 4.80540794E-16 4.67210685E-16 4.67210685E-16 3.73259056E-16 3.73259056E-16 4.29992126E-16 2.87638745E-16 3.21476712E-16 7.65551969E-16 3.75974547E-16
