  T/S       O-cavity       Oesophagus-s   Oesophagus-f   St-cont        SI-cont        RC-cont        LC-cont        RS-cont        ET1-sur        ET2-sur        ET2-seq        LN-ET          Bronchi        Bronchi-q      Brchiole       Brchiole-q     ALV            LN-Th          Blood          Liver          Kidneys        C-bone-S       C-bone-V       T-bone-S       T-bone-V       UB-cont        Other          
GB-wall    1.22430316E-17 2.48145094E-16 2.48145094E-16 7.64718837E-16 6.38098829E-16 2.59680765E-16 1.26015987E-16 2.14114866E-17 1.05783703E-17 9.68195251E-18 9.68195251E-18 1.40526900E-17 9.74075239E-17 9.74075239E-17 1.90130284E-16 1.90130284E-16 1.90130284E-16 8.49746343E-17 1.34797517E-13 2.26323451E-15 1.31602777E-15 1.09776326E-16 1.09776326E-16 1.47049360E-16 1.47049360E-16 1.95962206E-17 3.65247921E-13
Ureters    2.31162024E-18 3.63806215E-17 3.63806215E-17 2.37955252E-16 1.06579984E-15 7.84473673E-16 7.88799550E-16 8.32651120E-16 2.07241529E-18 1.59243525E-18 1.59243525E-18 2.45213111E-18 1.63309849E-17 1.63309849E-17 3.29167159E-17 3.29167159E-17 3.29183181E-17 1.39208308E-17 1.34773484E-13 2.20010875E-16 8.17206139E-16 1.45315805E-16 1.45315805E-16 2.52919580E-16 2.52919580E-16 7.06944353E-16 3.65558952E-13
UB-wall    2.31786872E-19 1.90274480E-18 1.90274480E-18 1.30112753E-17 6.39717028E-16 2.26563777E-16 2.82367584E-16 1.54736603E-15 4.33677132E-19 1.79155375E-19 1.79155375E-19 2.65160209E-19 1.15348696E-18 1.15348696E-18 2.28021758E-18 2.28021758E-18 2.28021758E-18 1.05775692E-18 9.07328566E-14 1.08922366E-17 3.00007547E-17 1.15693164E-16 1.15693164E-16 1.26860334E-16 1.26860334E-16 2.48353377E-13 3.69219172E-13
Ovaries    2.40935300E-19 1.94440138E-18 1.94440138E-18 1.24617287E-17 7.35046529E-16 1.78690744E-16 1.85612146E-16 2.53736690E-15 3.39853676E-19 1.32504802E-19 1.32504802E-19 2.12192254E-19 1.14047729E-18 1.14047729E-18 2.29319521E-18 2.29319521E-18 2.29335542E-18 1.33925933E-18 5.85851854E-13 1.12874936E-17 3.23447389E-17 1.22236453E-16 1.22236453E-16 1.42689838E-16 1.42689838E-16 1.63998785E-15 3.50388069E-13
Testes     0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00
Prostate   0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00
Uterus     2.26019037E-19 1.86285060E-18 1.86285060E-18 1.26078472E-17 8.10092475E-16 1.68084335E-16 2.16998783E-16 3.05695274E-15 2.46590983E-19 1.41935213E-19 1.41935213E-19 2.18857308E-19 1.18887904E-18 1.18887904E-18 2.32459786E-18 2.32459786E-18 2.32475808E-18 1.02308582E-18 1.34752656E-13 1.08792590E-17 3.14523266E-17 1.10692771E-16 1.10692771E-16 1.27389052E-16 1.27389052E-16 2.99815286E-15 3.65646987E-13
LN-Sys     8.58862728E-17 6.70927426E-16 6.70927426E-16 3.90466432E-16 6.04405058E-16 4.01921994E-16 4.80909294E-16 4.46029912E-16 2.89625444E-17 1.25581797E-16 1.25581797E-16 1.65921397E-16 5.64094298E-16 5.64094298E-16 2.83216738E-16 2.83216738E-16 2.83216738E-16 5.24985169E-16 2.45373329E-13 2.32844309E-16 4.19850348E-16 1.11303201E-16 1.11303201E-16 1.28550630E-16 1.28550630E-16 3.41872419E-16 3.56478022E-13
Skin       5.34229728E-17 5.03371809E-17 5.03371809E-17 5.28493936E-17 4.62740613E-17 4.85571628E-17 4.80733055E-17 4.68252100E-17 7.08915030E-17 4.90282027E-17 4.90282027E-17 5.79779605E-17 5.43201916E-17 5.43201916E-17 6.00495747E-17 6.00495747E-17 6.00495747E-17 5.43169873E-17 2.29127259E-13 5.45717333E-17 5.08562861E-17 6.05222168E-17 6.05222168E-17 5.61258445E-17 5.61258445E-17 5.11975496E-17 3.57550968E-13
Adipose    6.42905359E-17 7.08658682E-17 7.08658682E-17 7.88543202E-17 1.14446671E-16 1.04319313E-16 1.13012723E-16 1.43833792E-16 9.58421975E-17 8.44555292E-17 8.44555292E-17 7.41166843E-17 8.27476090E-17 8.27476090E-17 7.63709466E-17 7.63709466E-17 7.63709466E-17 9.25032617E-17 7.23430749E-14 6.94447377E-17 9.90385395E-17 7.10148706E-17 7.10148706E-17 6.71824645E-17 6.71824645E-17 1.08305528E-16 3.70693815E-13
Muscle     7.74107591E-17 1.07358642E-16 1.07358642E-16 7.30832805E-17 1.12985486E-16 1.28424058E-16 1.29117801E-16 1.49757038E-16 2.95201018E-17 8.95744830E-17 8.95744830E-17 1.27872910E-16 1.06243527E-16 1.06243527E-16 1.04224785E-16 1.04224785E-16 1.04224785E-16 1.09084186E-16 1.08433702E-13 7.52462187E-17 1.18796580E-16 1.27714294E-16 1.27714294E-16 9.80307705E-17 9.80307705E-17 1.33379590E-16 3.67693659E-13
