  T/S       O-cavity       Oesophagus-s   Oesophagus-f   St-wall        St-cont        SI-cont        RC-wall        RC-cont        LC-cont        RS-cont        ET1-sur        ET2-sur        ET2-seq        LN-ET          Bronchi        Bronchi-q      Brchiole       Brchiole-q     ALV            LN-Th          Blood          Liver          Kidneys        Thyroid        S-glands       T-bone-S       T-bone-V       C-bone-S       C-bone-V       UB-cont        Other          
Kidneys    1.25809306E-22 2.93070123E-20 2.93070123E-20 3.58454945E-19 3.20964016E-19 9.11750573E-19 1.49100146E-17 1.44948907E-18 6.52726701E-20 9.14938905E-21 5.13497564E-22 1.60714323E-21 1.60714323E-21 6.97331294E-22 1.21469010E-20 1.21469010E-20 2.84210087E-20 2.84210087E-20 2.84210087E-20 8.09707953E-21 9.04364540E-16 7.48216419E-18 4.50932572E-14 1.31509850E-21 3.69606094E-22 5.50796233E-20 5.50796233E-20 1.50550116E-19 1.50550116E-19 6.05366364E-21 1.56626787E-18
Spleen     2.28406280E-21 1.35539324E-19 1.35539324E-19 7.35463095E-17 1.38347940E-18 1.34158248E-19 4.59520238E-21 3.46662926E-21 1.89441348E-20 1.12874936E-22 2.54697996E-22 1.82535967E-21 1.82535967E-21 3.63501801E-21 3.70327073E-20 3.70327073E-20 8.38771434E-18 8.38771434E-18 8.38771434E-18 4.35055003E-20 1.20161634E-15 7.92676817E-20 3.51116977E-18 6.00752096E-21 3.88015102E-22 7.95817083E-20 7.95817083E-20 4.03764496E-20 4.03764496E-20 4.80236380E-22 2.30607855E-16
GB-wall    3.75662321E-23 7.30736674E-20 7.30736674E-20 3.38716131E-17 3.40382395E-19 7.79891449E-18 7.30752696E-20 5.43073742E-20 8.29558920E-21 6.58975189E-23 1.63598241E-21 3.10453738E-23 3.10453738E-23 4.59376042E-23 6.61939216E-21 6.61939216E-21 4.83488798E-20 4.83488798E-20 4.83488798E-20 7.13529298E-21 1.20969131E-16 2.43498782E-16 5.28221566E-17 1.06438993E-20 1.72378168E-22 6.98693144E-20 6.98693144E-20 6.61009953E-18 6.61009953E-18 6.20522953E-23 3.02646297E-16
Ureters    5.95080391E-24 5.07377250E-21 5.07377250E-21 1.20510909E-19 6.40181659E-20 5.85659593E-19 3.84410205E-19 3.18368490E-19 3.39068610E-19 6.46350038E-19 4.46959175E-24 2.07193463E-24 2.07193463E-24 7.12584014E-24 4.25009357E-22 4.25009357E-22 1.05876629E-21 1.05876629E-21 5.70230633E-21 6.47599736E-21 1.16056858E-16 5.53776281E-20 4.85539584E-17 1.31090080E-23 4.86933478E-24 1.41558701E-19 1.41558701E-19 3.93174110E-18 3.93174110E-18 3.05358817E-18 3.20210680E-16
UB-wall    4.10413529E-25 4.56235776E-24 4.56235776E-24 1.15955921E-21 4.28486080E-22 6.91627546E-18 6.90890545E-20 7.60505113E-20 1.08991260E-19 2.75398116E-17 9.43665929E-25 1.18641169E-25 1.18641169E-25 4.92252704E-25 1.98029014E-24 1.98029014E-24 5.76142665E-24 5.76142665E-24 3.60762080E-23 2.45100959E-24 8.37938303E-17 8.66024457E-22 3.51934087E-21 4.97924409E-25 3.17535358E-25 2.00528409E-18 2.00528409E-18 6.29847621E-18 6.29847621E-18 1.48806948E-15 3.17758548E-16
Ovaries    4.74821024E-25 5.81125434E-24 5.81125434E-24 1.02300571E-21 3.77873324E-23 5.61322532E-18 6.61730933E-20 4.00191643E-20 2.72337959E-20 1.74284758E-18 1.28973605E-24 4.30985475E-26 4.30985475E-26 3.65792914E-25 2.40422604E-24 2.40422604E-24 5.53423802E-24 5.53423802E-24 2.96450715E-22 3.84185900E-24 5.06111530E-16 1.44756646E-21 1.15574603E-21 1.79395701E-25 5.24440429E-25 2.29367586E-20 2.29367586E-20 7.15884498E-20 7.15884498E-20 9.48568589E-19 3.08607130E-16
Testes     0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00
Prostate   0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00
Uterus     1.88127563E-25 4.01761776E-24 4.01761776E-24 1.52278864E-21 1.55984698E-21 1.95994250E-17 4.93470358E-20 4.61266611E-20 4.39829489E-20 4.85715824E-17 4.66009053E-25 1.67235182E-25 1.67235182E-25 2.11343100E-25 1.96122424E-24 1.96122424E-24 5.41663827E-24 5.41663827E-24 1.47520400E-23 2.10493947E-24 1.17723122E-16 3.80164437E-21 3.52302588E-21 7.25337339E-25 1.55898181E-25 5.07809838E-20 5.07809838E-20 1.03162542E-19 1.03162542E-19 2.24625143E-17 3.21913326E-16
LN-Sys     1.87710997E-20 1.06956496E-16 1.06956496E-16 6.43049555E-17 1.96106402E-18 1.19946943E-17 7.93061339E-17 5.26571324E-18 8.62932256E-18 7.34021136E-18 4.75445873E-21 4.90538375E-20 4.90538375E-20 9.05902629E-20 6.63925914E-17 6.63925914E-17 1.74845520E-17 1.74845520E-17 1.74845520E-17 2.69197693E-17 2.96370607E-16 3.73595513E-18 1.89681674E-17 4.07193154E-17 1.02659458E-17 7.18383893E-19 7.18383893E-19 1.66273876E-18 1.66273876E-18 1.93831311E-18 3.10487008E-16
Skin       3.71336444E-20 1.35226900E-20 1.35226900E-20 1.87823150E-20 1.60890563E-20 1.29825963E-20 1.80340985E-20 1.64126959E-20 1.65809245E-20 1.30522910E-20 3.46310448E-18 1.48417619E-20 1.48417619E-20 2.39845820E-20 1.76319522E-20 1.76319522E-20 2.19001504E-20 2.19001504E-20 2.19001504E-20 1.89633609E-20 1.91860634E-16 1.89008760E-20 1.46780195E-20 3.35928344E-20 8.38867565E-20 4.38467639E-20 4.38467639E-20 8.16869682E-20 8.16869682E-20 1.82471880E-20 3.06810780E-16
Adipose    2.87542614E-18 2.63894489E-18 2.63894489E-18 3.21172299E-18 9.12647792E-20 5.92677126E-19 4.62724591E-18 2.18008155E-19 3.62892974E-19 8.44731531E-19 2.47456158E-17 1.41541077E-17 1.41541077E-17 9.24311637E-18 8.80123610E-18 8.80123610E-18 2.80845516E-18 2.80845516E-18 2.80845516E-18 1.71512993E-17 6.58718841E-17 3.29856095E-19 2.39861842E-18 3.90065888E-18 3.92597326E-18 4.20923807E-19 4.20923807E-19 1.65456766E-18 1.65456766E-18 2.80605190E-19 3.30542184E-16
Muscle     8.23807106E-18 2.93759059E-18 2.93759059E-18 1.38014687E-18 2.71216436E-20 4.15123928E-20 3.78209782E-18 1.21084488E-19 6.30200099E-20 7.20242418E-20 1.12868527E-18 1.96731251E-18 1.96731251E-18 1.91011481E-17 2.42681672E-18 2.42681672E-18 1.36555104E-18 1.36555104E-18 1.36555104E-18 3.32483665E-18 9.54384490E-17 7.78449490E-19 9.32514781E-19 8.05446164E-18 3.17759663E-18 1.11287179E-18 1.11287179E-18 8.32683164E-18 8.32683164E-18 1.67090986E-19 3.23407148E-16
