  T/S       O-cavity       Oesophagus-s   Oesophagus-f   St-cont        SI-cont        RC-cont        LC-cont        RS-cont        ET1-sur        ET2-sur        ET2-seq        LN-ET          Bronchi        Bronchi-q      Brchiole       Brchiole-q     ALV            LN-Th          Blood          UB-cont        C-bone-S       C-bone-V       T-bone-S       T-bone-V       Other          
Ureters    0.00000000E+00 1.77649329E-21 1.77649329E-21 3.61114558E-20 3.52174414E-19 1.77889655E-19 1.90707067E-19 3.56099746E-19 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 2.91451925E-23 2.91451925E-23 7.41919866E-23 7.41919866E-23 2.84097935E-21 2.26307429E-21 8.94655350E-17 1.65008156E-18 2.03172000E-18 2.03172000E-18 6.92540787E-20 6.92540787E-20 2.35265497E-16
UB-wall    0.00000000E+00 0.00000000E+00 0.00000000E+00 9.42384188E-23 3.72441946E-18 4.48769634E-20 6.45885407E-20 1.47877685E-17 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 9.98204017E-24 0.00000000E+00 6.26819507E-17 8.01152331E-16 3.36200714E-18 3.36200714E-18 1.06450208E-18 1.06450208E-18 2.34611922E-16
Ovaries    0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 3.00376048E-18 1.94872726E-20 1.13664809E-20 1.07509247E-18 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 1.00567016E-22 0.00000000E+00 3.86925622E-16 5.51373016E-19 3.71064074E-20 3.71064074E-20 1.26501447E-20 1.26501447E-20 2.26314928E-16
Testes     0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00
Prostate   0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00
Uterus     0.00000000E+00 0.00000000E+00 0.00000000E+00 4.41415644E-22 1.05469676E-17 2.20411419E-20 2.23087054E-20 2.61683486E-17 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 1.73916258E-24 0.00000000E+00 8.99830380E-17 1.20874603E-17 5.57333113E-20 5.57333113E-20 2.79371514E-20 2.79371514E-20 2.36023874E-16
LN-Sys     1.04807977E-20 5.74348227E-17 5.74348227E-17 1.03806617E-18 6.42761163E-18 2.84642675E-18 4.63830093E-18 3.95272961E-18 2.29031129E-21 2.79147209E-20 2.79147209E-20 5.09716428E-20 3.53135719E-17 3.53135719E-17 9.43826147E-18 9.43826147E-18 9.43826147E-18 1.44288810E-17 2.07145398E-16 1.02044223E-18 8.89368168E-19 8.89368168E-19 3.77745150E-19 3.77745150E-19 2.28775496E-16
Skin       1.88047454E-20 7.46566178E-21 7.46566178E-21 8.82158374E-21 7.08915030E-21 9.45059823E-21 9.49401721E-21 7.03563761E-21 1.87246366E-18 8.17991205E-21 8.17991205E-21 1.40075086E-20 1.00507735E-20 1.00507735E-20 1.26488629E-20 1.26488629E-20 1.26488629E-20 1.08957614E-20 1.48486512E-16 1.05150843E-20 4.38467639E-20 4.38467639E-20 2.39653559E-20 2.39653559E-20 2.26733800E-16
Adipose    1.55106706E-18 1.42175539E-18 1.42175539E-18 4.95392970E-20 3.18865164E-19 1.18053170E-19 1.95369401E-19 4.54088860E-19 1.33219373E-17 7.61706745E-18 7.61706745E-18 4.98645388E-18 4.72369694E-18 4.72369694E-18 1.52459910E-18 1.52459910E-18 1.52459910E-18 9.23590658E-18 4.97363647E-17 1.50710333E-19 8.88150514E-19 8.88150514E-19 2.25121818E-19 2.25121818E-19 2.42413969E-16
Muscle     4.44283540E-18 1.58126808E-18 1.58126808E-18 1.53698393E-20 2.37090077E-20 6.79130569E-20 3.69702224E-20 4.07898112E-20 6.02274163E-19 1.05049906E-18 1.05049906E-18 1.02888570E-17 1.30729590E-18 1.30729590E-18 7.40141450E-19 7.40141450E-19 7.40141450E-19 1.79652049E-18 7.27772647E-17 9.00695556E-20 4.48208872E-18 4.48208872E-18 5.95112434E-19 5.95112434E-19 2.37248268E-16
