  T/S       O-cavity       Oesophagus-s   Oesophagus-f   St-cont        SI-cont        RC-cont        LC-cont        RS-cont        ET1-sur        ET2-sur        ET2-seq        LN-ET          Bronchi        Bronchi-q      Brchiole       Brchiole-q     ALV            LN-Th          Blood          Liver          C-bone-S       C-bone-V       C-marrow       T-bone-S       T-bone-V       T-marrow       Kidneys        Ovaries        Testes         Ureters        UB-cont        Other          
Spleen     9.35751177E-23 4.01217036E-21 4.01217036E-21 1.28416048E-20 4.97379669E-21 7.28798040E-22 8.23935280E-21 1.99519038E-22 5.02987286E-23 1.10905861E-22 1.10905861E-22 2.22958880E-22 3.31009662E-21 3.31009662E-21 9.05806499E-21 9.05806499E-21 9.05806499E-21 1.90851263E-21 7.54609104E-17 1.92950114E-21 1.00344313E-21 1.00344313E-21 4.51749682E-22 1.17162360E-21 1.17162360E-21 1.17502021E-21 8.96289570E-21 0.00000000E+00 4.45164737E-24 1.61739716E-21 7.61899007E-23 1.38103075E-17
GB-wall    7.70871195E-23 2.52567101E-21 2.52567101E-21 4.57934084E-21 8.81934069E-21 2.85331611E-20 3.49771149E-21 2.98133001E-22 5.59976704E-23 6.75878151E-23 6.75878151E-23 1.32552867E-22 1.56612752E-21 1.56612752E-21 1.94936813E-21 1.94936813E-21 1.94936813E-21 9.26282314E-22 9.84168951E-18 9.14778687E-20 6.02466424E-22 6.02466424E-22 1.46887540E-22 7.72024762E-22 7.72024762E-22 9.39436183E-22 8.20586731E-21 0.00000000E+00 1.04578866E-23 3.34470363E-21 2.15124237E-22 2.00721188E-17
Ureters    1.22095461E-23 5.09492123E-22 5.09492123E-22 2.11711601E-21 1.32924572E-20 5.86508747E-21 3.61194667E-21 5.97980330E-21 8.96273549E-24 1.47635757E-23 1.47635757E-23 2.09933185E-23 2.81326169E-22 2.81326169E-22 3.61451015E-22 3.61451015E-22 3.61483059E-22 1.62508761E-22 9.82646883E-18 1.68372727E-21 1.28134065E-21 1.28134065E-21 9.03563452E-23 1.38862238E-21 1.38862238E-21 2.24625143E-21 9.48856981E-21 0.00000000E+00 2.52310753E-22 7.35062550E-14 9.26778989E-21 4.33262535E-21
UB-wall    8.04917445E-25 2.09196184E-23 2.09196184E-23 1.13892318E-22 2.31995155E-21 6.44683775E-22 3.03484270E-22 1.30088720E-20 5.18304094E-25 6.50499675E-25 6.50499675E-25 1.28871066E-24 1.68949511E-23 1.68949511E-23 2.06408397E-23 2.06408397E-23 2.06408397E-23 1.08422487E-23 4.81854578E-18 1.10170462E-22 1.34212722E-21 1.34212722E-21 9.97386907E-23 1.68869402E-21 1.68869402E-21 2.08363052E-21 2.86100655E-22 0.00000000E+00 1.94936813E-21 9.51724877E-21 3.65985175E-18 2.05601792E-17
Ovaries    0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00
Testes     1.67347334E-28 1.09005679E-24 1.09005679E-24 6.44843992E-24 7.27900822E-23 3.42545333E-23 1.70183186E-23 6.11294417E-22 7.45524763E-27 4.13169272E-29 4.13169272E-29 7.34005114E-31 1.81654770E-24 1.81654770E-24 2.43578891E-24 2.43578891E-24 2.43578891E-24 7.52125730E-25 1.32272486E-17 6.15972772E-24 3.67314981E-22 3.67314981E-22 6.98420774E-22 3.60633905E-22 3.60633905E-22 3.70599443E-22 1.49518314E-23 0.00000000E+00 3.30561053E-14 2.51029012E-22 1.82167467E-21 2.83472785E-21
Prostate   3.01609724E-25 1.32017740E-23 1.32017740E-23 4.62644482E-23 6.60112734E-22 2.78778709E-22 1.29060123E-22 5.78642060E-21 3.19954644E-25 2.54025082E-25 2.54025082E-25 2.79980341E-26 6.77688610E-24 6.77688610E-24 9.72777476E-24 9.72777476E-24 9.72777476E-24 4.29158994E-24 9.83271732E-18 4.79771749E-23 1.33696821E-21 1.33696821E-21 1.86333125E-22 1.54086119E-21 1.54086119E-21 1.77248785E-21 1.25895824E-22 0.00000000E+00 4.81405969E-21 2.46655070E-21 5.20402945E-20 2.00761545E-17
Uterus     0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00
LN-Sys     5.69461589E-22 4.01745754E-20 4.01745754E-20 9.28861818E-21 9.68083099E-21 4.32203129E-21 6.20763280E-21 9.67410185E-21 1.50023000E-22 7.99005414E-22 7.99005414E-22 1.67090986E-21 5.04365158E-21 5.04365158E-21 1.10694373E-20 1.10694373E-20 1.10694373E-20 7.81990300E-21 1.30215292E-17 3.43522661E-21 1.91636330E-21 1.91636330E-21 3.38251500E-22 1.15265383E-21 1.15265383E-21 2.27765409E-21 2.90426532E-21 0.00000000E+00 1.42736301E-21 7.52462187E-20 6.53527789E-21 1.97925527E-17
Skin       4.37794725E-22 3.97035355E-22 3.97035355E-22 4.26595511E-22 4.14819514E-22 4.39332815E-22 5.05182268E-22 4.63205244E-22 4.83697081E-21 4.60000891E-22 4.60000891E-22 5.60938010E-22 4.72385715E-22 4.72385715E-22 4.72834325E-22 4.72834325E-22 4.72834325E-22 5.13834021E-22 1.06533521E-17 4.56764495E-22 7.50715815E-22 7.50715815E-22 6.26819507E-22 5.61434685E-22 5.61434685E-22 5.38267213E-22 4.83600951E-22 0.00000000E+00 1.02159579E-20 3.71224292E-22 4.07113045E-22 2.00010773E-17
Adipose    1.20276991E-21 3.62524474E-21 3.62524474E-21 1.61899934E-21 2.32892374E-21 2.08587357E-21 2.53560451E-21 2.19386026E-21 4.71696780E-21 5.23799559E-21 5.23799559E-21 5.36649014E-21 2.63894489E-21 2.63894489E-21 2.92204948E-21 2.92204948E-21 2.92204948E-21 6.77640545E-21 3.51693761E-18 1.34959336E-21 1.85756342E-21 1.85756342E-21 4.88215219E-22 9.08770525E-22 9.08770525E-22 9.55586122E-22 3.24761174E-21 0.00000000E+00 3.86380882E-21 9.98572517E-21 1.94344008E-21 2.06957758E-17
Muscle     2.31899025E-21 1.06754622E-21 1.06754622E-21 6.31193449E-22 8.60352752E-22 8.54600938E-22 7.41343082E-22 1.45472818E-21 2.16662326E-22 1.68677141E-21 1.68677141E-21 4.28662319E-21 8.71664118E-22 8.71664118E-22 1.17014960E-21 1.17014960E-21 1.17014960E-21 1.33012692E-21 5.78802278E-18 7.54448886E-22 3.22550170E-21 3.22550170E-21 1.22048998E-21 1.37109457E-21 1.37109457E-21 1.34783097E-21 1.04926538E-21 0.00000000E+00 1.08273485E-22 1.98413536E-21 1.34835969E-21 2.04716440E-17
