  T/S       O-cavity       Oesophagus-s   Oesophagus-f   St-cont        SI-cont        RC-cont        LC-cont        RS-cont        ET1-sur        ET2-sur        ET2-seq        LN-ET          Bronchi        Bronchi-q      Brchiole       Brchiole-q     ALV            LN-Th          Blood          C-bone-S       C-bone-V       T-bone-S       T-bone-V       UB-cont        Other          
Ureters    0.00000000E+00 3.48008755E-20 3.48008755E-20 2.98213110E-19 1.99679256E-18 1.15020250E-18 1.18118859E-18 3.26844003E-18 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 9.15275362E-21 9.15275362E-21 2.02691347E-20 2.02691347E-20 2.73651744E-20 1.87855193E-20 2.15797151E-16 2.11599449E-17 2.11599449E-17 1.03157735E-18 1.03157735E-18 1.52439082E-17 5.90939917E-16
UB-wall    0.00000000E+00 0.00000000E+00 0.00000000E+00 7.12087340E-21 3.30849445E-17 2.51461600E-19 3.92885718E-19 1.38782129E-16 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 3.16654161E-22 0.00000000E+00 1.75550478E-16 2.99078285E-17 2.99078285E-17 9.96601840E-18 9.96601840E-18 7.15099431E-15 5.69933835E-16
Ovaries    0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 2.83649325E-17 1.60826476E-19 1.79956463E-19 5.36360623E-18 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 1.17822457E-21 0.00000000E+00 9.66849423E-16 3.18833121E-19 3.18833121E-19 1.25203684E-19 1.25203684E-19 3.28237897E-18 5.71960053E-16
Testes     0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00
Prostate   0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00
Uterus     0.00000000E+00 5.41984262E-23 5.41984262E-23 1.44628471E-20 9.66384792E-17 2.02002411E-19 2.10349751E-19 2.37138142E-16 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 1.86877865E-22 1.86877865E-22 6.12159592E-22 0.00000000E+00 2.25426232E-16 5.42609111E-19 5.42609111E-19 2.36401141E-19 2.36401141E-19 1.10277808E-16 5.96356860E-16
LN-Sys     8.90537757E-20 5.15788676E-16 5.15788676E-16 1.01491472E-17 5.92917453E-17 2.59136025E-17 4.28694363E-17 3.61194667E-17 2.08218856E-20 2.06808941E-19 2.06808941E-19 3.05054403E-19 3.36729432E-16 3.36729432E-16 8.21019319E-17 8.21019319E-17 8.21019319E-17 1.35731585E-16 8.19753600E-16 8.26114240E-18 8.26114240E-18 3.56275985E-18 3.56275985E-18 9.22549243E-18 5.71000560E-16
Skin       2.46526896E-19 5.43474286E-20 5.43474286E-20 6.36544718E-20 5.24007842E-20 6.04389036E-20 6.08202216E-20 5.27292304E-20 1.63518132E-17 5.78001189E-20 5.78001189E-20 8.57084312E-20 6.71167752E-20 6.71167752E-20 8.06407469E-20 8.06407469E-20 8.06407469E-20 7.06303483E-20 3.47399928E-16 3.96218245E-19 3.96218245E-19 1.99871517E-19 1.99871517E-19 6.73987583E-20 5.48063664E-16
Adipose    1.36154560E-17 1.26563932E-17 1.26563932E-17 4.32635717E-19 2.90314379E-18 1.05724422E-18 1.76848241E-18 4.14162622E-18 1.18697245E-16 6.75990303E-17 6.75990303E-17 4.37826769E-17 4.27877253E-17 4.27877253E-17 1.29870824E-17 1.29870824E-17 1.29870824E-17 8.17254204E-17 1.34281616E-16 8.04068292E-18 8.04068292E-18 2.09404467E-18 2.09404467E-18 1.37314536E-18 6.12561790E-16
Muscle     3.90642671E-17 1.41387268E-17 1.41387268E-17 1.02792439E-19 1.53440442E-19 5.20787467E-19 2.24593100E-19 2.85459785E-19 5.67923499E-18 9.76766895E-18 9.76766895E-18 9.12519618E-17 1.16228291E-17 1.16228291E-17 6.37441937E-18 6.37441937E-18 6.37441937E-18 1.56255466E-17 1.86028712E-16 4.00656274E-17 4.00656274E-17 5.55682871E-18 5.55682871E-18 7.99998763E-19 5.98360534E-16
