  T/S       O-cavity       Oesophagus-s   Oesophagus-f   St-cont        SI-cont        RC-cont        LC-cont        RS-cont        ET1-sur        ET2-sur        ET2-seq        LN-ET          Bronchi        Bronchi-q      Brchiole       Brchiole-q     ALV            LN-Th          Blood          UB-cont        C-bone-S       C-bone-V       T-bone-S       T-bone-V       Other          
Ureters    0.00000000E+00 7.34421680E-23 7.34421680E-23 1.34318466E-20 1.75165955E-18 3.51405369E-20 2.46206461E-20 3.02154464E-20 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 5.41119087E-24 5.41119087E-24 0.00000000E+00 0.00000000E+00 8.25713696E-22 0.00000000E+00 6.15700402E-17 1.06861967E-19 5.83256328E-21 5.83256328E-21 1.25469645E-21 1.25469645E-21 1.24400899E-16
UB-wall    0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 2.34013898E-19 1.90018131E-21 4.91804094E-22 1.29665745E-19 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 3.09508454E-17 1.83016620E-16 5.09780515E-20 5.09780515E-20 1.06443799E-20 1.06443799E-20 1.26852598E-16
Ovaries    0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00
Testes     0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 3.78257847E-21 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 8.49842474E-17 1.17562904E-21 4.90346114E-22 4.90346114E-22 0.00000000E+00 0.00000000E+00 1.22547702E-16
Prostate   0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 8.77624214E-22 0.00000000E+00 0.00000000E+00 2.54954344E-20 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 6.30728818E-17 6.98356687E-18 1.37953804E-20 1.37953804E-20 2.41255735E-21 2.41255735E-21 1.24462186E-16
Uterus     0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00
LN-Sys     1.03667227E-21 1.30215292E-17 1.30215292E-17 1.17498817E-18 1.13800994E-18 3.68051983E-19 4.25137531E-19 1.45721156E-18 4.36224592E-23 3.06896906E-21 3.06896906E-21 1.15502505E-20 2.35375748E-19 2.35375748E-19 3.33140557E-18 3.33140557E-18 3.33140557E-18 5.90850645E-19 9.81124815E-17 5.48569207E-19 5.21588555E-19 5.21588555E-19 7.80532319E-20 7.80532319E-20 1.22356391E-16
Skin       1.75294129E-21 1.31851114E-21 1.31851114E-21 2.01922303E-21 1.80677442E-21 1.97740622E-21 3.07249385E-21 2.78490317E-21 1.82551989E-18 6.86853060E-21 6.86853060E-21 4.97363647E-21 4.40197990E-21 4.40197990E-21 2.22830706E-21 2.22830706E-21 2.22830706E-21 3.65392370E-20 6.80059832E-17 1.45285364E-21 5.28622110E-20 5.28622110E-20 1.49016833E-20 1.49016833E-20 1.23226741E-16
Adipose    2.71969459E-19 1.08577898E-18 1.08577898E-18 1.13331556E-19 1.87630888E-19 2.14387236E-19 3.13465830E-19 2.21036268E-19 1.84154165E-18 2.10525990E-18 2.10525990E-18 1.90787176E-18 7.43473977E-19 7.43473977E-19 8.30103660E-19 8.30103660E-19 8.30103660E-19 2.40134212E-18 2.30232761E-17 1.09579259E-19 4.73026586E-19 4.73026586E-19 9.81236968E-20 9.81236968E-20 1.28368385E-16
Muscle     5.78465821E-19 9.20338239E-20 9.20338239E-20 3.19217643E-21 5.56275676E-21 6.92604874E-21 5.48232750E-21 4.75878460E-20 3.05070425E-21 3.42513289E-19 3.42513289E-19 1.20637481E-18 1.46618375E-20 1.46618375E-20 8.82446766E-20 8.82446766E-20 8.82446766E-20 1.83048664E-19 3.72441946E-17 8.33772644E-21 8.83696463E-19 8.83696463E-19 1.63486089E-19 1.63486089E-19 1.26944839E-16
