  T/S       O-cavity       Oesophagus-s   Oesophagus-f   St-cont        SI-cont        RC-cont        LC-cont        RS-cont        ET1-sur        ET2-sur        ET2-seq        LN-ET          Bronchi        Bronchi-q      Brchiole       Brchiole-q     ALV            LN-Th          Blood          Liver          C-bone-S       C-bone-V       C-marrow       T-bone-S       T-bone-V       T-marrow       Kidneys        Ovaries        Testes         Ureters        UB-cont        Other          
Kidneys    7.69989998E-22 6.88343084E-20 6.88343084E-20 2.03812871E-18 6.72305297E-18 4.12977011E-18 1.21994524E-19 7.01000278E-21 6.09035348E-22 6.35535347E-22 6.35535347E-22 1.02361454E-21 1.21568345E-20 1.21568345E-20 4.09019635E-20 4.09019635E-20 4.09019635E-20 9.31441322E-21 9.41342773E-13 5.34438011E-18 1.42941380E-19 1.42941380E-19 4.08250591E-21 2.19994853E-19 2.19994853E-19 3.27372722E-19 4.70671387E-11 4.80396598E-21 0.00000000E+00 2.12592798E-17 5.09812558E-21 1.16791300E-18
Spleen     2.11327079E-21 6.78489699E-19 6.78489699E-19 2.35551987E-17 1.12663448E-18 6.78858199E-21 2.17351262E-20 1.84875145E-21 1.43942740E-21 2.03123935E-21 2.03123935E-21 3.17391162E-21 1.13235425E-19 1.13235425E-19 7.07953724E-18 7.07953724E-18 7.07953724E-18 5.41519631E-20 1.25540141E-12 1.56122486E-19 1.17280921E-19 1.17280921E-19 8.95248156E-21 4.89833417E-19 4.89833417E-19 8.85442836E-19 9.10436789E-18 1.16372487E-21 0.00000000E+00 5.42208567E-20 1.17817650E-21 2.37386070E-13
GB-wall    1.77857612E-21 1.33044735E-19 1.33044735E-19 1.70359426E-18 8.30247856E-18 1.00868225E-19 2.75109725E-20 2.92525383E-21 1.45229288E-21 1.21755800E-21 1.21755800E-21 1.79555919E-21 2.17912024E-20 2.17912024E-20 6.17462796E-20 6.17462796E-20 6.17462796E-20 1.83369099E-20 1.22348605E-13 5.39484867E-17 5.37321928E-19 5.37321928E-19 2.18424720E-21 2.35840379E-19 2.35840379E-19 2.98325262E-19 1.72778712E-17 2.25490319E-21 0.00000000E+00 1.83881795E-17 2.62212204E-21 3.31796001E-13
Ureters    2.78169882E-22 9.28044708E-21 9.28044708E-21 1.94247877E-19 1.11977717E-17 2.58623329E-18 2.16598239E-18 1.15999180E-17 2.13281734E-22 1.86108821E-22 1.86108821E-22 2.93118188E-22 2.83985782E-21 2.83985782E-21 6.00415639E-21 6.00415639E-21 6.00543813E-21 2.22910815E-21 1.22348605E-13 2.67996061E-19 1.04585275E-18 1.04585275E-18 2.34574659E-21 8.95937092E-19 8.95937092E-19 1.46414898E-18 1.95898119E-17 2.16181673E-18 0.00000000E+00 1.08685244E-09 6.94239094E-18 3.38591997E-18
UB-wall    3.29567703E-23 2.56364260E-22 2.56364260E-22 1.83753621E-21 7.11750883E-18 1.40997940E-19 4.27268426E-19 3.08563170E-17 4.24144181E-23 2.58238806E-23 2.58238806E-23 3.31554402E-23 1.44546760E-22 1.44546760E-22 2.62500596E-22 2.62500596E-22 2.62500596E-22 1.41505830E-22 8.23390540E-14 1.47565261E-21 7.13913821E-19 7.13913821E-19 5.15756633E-21 7.01000278E-19 7.01000278E-19 9.23975180E-19 4.52502705E-21 2.29607912E-17 0.00000000E+00 3.56436203E-17 1.82215532E-13 3.35373539E-13
Ovaries    3.04365467E-23 2.77000293E-22 2.77000293E-22 1.61210998E-21 1.16889990E-17 4.99013889E-20 5.14987588E-20 2.87286266E-17 4.37169876E-23 2.26932278E-23 2.26932278E-23 3.11238804E-23 1.77264807E-22 1.77264807E-22 3.04012988E-22 3.04012988E-22 3.04029010E-22 1.65697092E-22 5.31842485E-13 1.40728774E-21 2.29639956E-19 2.29639956E-19 6.33724888E-21 1.40153593E-19 1.40153593E-19 1.99342799E-19 5.04941942E-21 1.42042559E-09 0.00000000E+00 2.38948601E-18 7.22036856E-18 3.10244663E-18
Testes     0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00
Prostate   0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00
Uterus     3.11831610E-23 2.47696485E-22 2.47696485E-22 1.68933489E-21 1.40810485E-17 4.34013589E-20 7.13016602E-20 6.07817694E-17 3.09540497E-23 2.92717644E-23 2.92717644E-23 3.26155067E-23 1.52163507E-22 1.52163507E-22 2.76551683E-22 2.76551683E-22 2.76551683E-22 1.46978864E-22 1.22348605E-13 1.37990654E-21 2.51910209E-19 2.51910209E-19 6.05110016E-21 2.24032338E-19 2.24032338E-19 3.13321634E-19 4.65240008E-21 2.55338867E-16 0.00000000E+00 2.78650535E-18 5.11222473E-17 3.32083890E-13
LN-Sys     1.93350658E-19 3.28542310E-17 3.28542310E-17 4.96129971E-18 1.65296548E-17 8.85346705E-18 1.14481919E-17 1.10410788E-17 3.20996059E-20 1.34020461E-18 1.34020461E-18 1.63710393E-18 3.11447087E-17 3.11447087E-17 6.45036254E-18 6.45036254E-18 6.45036254E-18 2.59632700E-17 2.22654466E-13 1.92741831E-18 5.32499377E-19 5.32499377E-19 1.94215834E-20 4.82751797E-19 4.82751797E-19 8.69421071E-19 9.47943740E-18 1.78402352E-17 0.00000000E+00 3.32243338E-17 2.94111538E-18 3.23789883E-13
Skin       3.78482152E-19 5.68804696E-20 5.68804696E-20 5.81638130E-20 4.55338558E-20 1.09768315E-19 9.38010246E-20 4.40806817E-20 2.83056520E-18 9.34886002E-20 9.34886002E-20 3.75998778E-19 1.77953742E-19 1.77953742E-19 1.25431193E-19 1.25431193E-19 1.25431193E-19 1.71737298E-19 2.08026595E-13 1.07911393E-19 2.56973087E-19 2.56973087E-19 6.02915034E-20 1.44798302E-19 1.44798302E-19 1.31758188E-19 4.20443154E-20 1.79956463E-20 0.00000000E+00 1.31432946E-20 1.86557430E-19 3.24832368E-13
Adipose    6.42296532E-19 6.59920473E-19 6.59920473E-19 2.61347029E-19 7.52926818E-19 5.36777188E-19 6.56123315E-19 9.75661394E-19 3.61370907E-18 2.05174721E-18 2.05174721E-18 1.25782069E-18 1.57242407E-18 1.57242407E-18 6.64534742E-19 6.64534742E-19 6.64534742E-19 2.06840984E-18 6.56523859E-14 2.14739715E-19 2.33132701E-19 2.33132701E-19 4.14771449E-20 1.73211300E-19 1.73211300E-19 2.29015107E-19 7.28028996E-19 2.41287779E-18 0.00000000E+00 2.71136327E-18 4.25714314E-19 3.36738463E-13
Muscle     1.68276596E-18 1.07598969E-18 1.07598969E-18 1.99855495E-19 3.50732455E-19 9.67922881E-19 8.86644468E-19 5.75469751E-19 5.55714915E-19 1.92966136E-18 1.92966136E-18 4.25409901E-18 1.04449090E-18 1.04449090E-18 9.83528080E-19 9.83528080E-19 9.83528080E-19 1.13256254E-18 9.84040777E-14 4.75542003E-19 9.32931347E-19 9.32931347E-19 2.00223996E-19 4.72433781E-19 4.72433781E-19 6.61234258E-19 9.72617258E-19 1.21082886E-18 0.00000000E+00 2.12720972E-18 3.46823144E-19 3.33992290E-13
