  T/S       O-cavity       Oesophagus-s   Oesophagus-f   St-cont        SI-cont        RC-cont        LC-cont        RS-cont        ET1-sur        ET2-sur        ET2-seq        LN-ET          Bronchi        Bronchi-q      Brchiole       Brchiole-q     ALV            LN-Th          Blood          Liver          C-bone-S       C-bone-V       C-marrow       T-bone-S       T-bone-V       T-marrow       Kidneys        Ovaries        Testes         Ureters        UB-cont        Other          
Ureters    6.83296228E-17 7.68628148E-16 7.68628148E-16 2.60097331E-15 1.27760757E-14 6.62371803E-15 4.19081304E-15 6.81421682E-15 7.35463095E-17 7.13577364E-17 7.13577364E-17 1.12665051E-16 5.55170175E-16 5.55170175E-16 6.71920775E-16 6.71920775E-16 6.71920775E-16 3.79427436E-16 1.03338781E-15 2.24080403E-15 1.66353985E-15 1.66353985E-15 2.26339472E-16 1.79059244E-15 1.79059244E-15 2.84482457E-15 9.72152627E-15 0.00000000E+00 5.88158988E-16 1.10958733E-12 1.00329894E-14 2.26213578E-15
UB-wall    2.12384515E-17 1.16614416E-16 1.16614416E-16 3.54625744E-16 2.45629677E-15 1.10143225E-15 6.49474283E-16 1.38053139E-14 2.16373935E-17 1.86621517E-17 1.86621517E-17 2.58350959E-17 1.09268436E-16 1.09268436E-16 1.28068375E-16 1.28068375E-16 1.28068375E-16 7.50315271E-17 1.33818587E-15 3.43074051E-16 1.67299269E-15 1.67299269E-15 2.84242131E-16 2.06937115E-15 2.06937115E-15 2.52230644E-15 6.40470051E-16 0.00000000E+00 2.88840377E-15 7.97066781E-15 8.63733344E-14 2.43651326E-15
Ovaries    0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00
Testes     6.53239397E-18 2.51926231E-17 2.51926231E-17 7.89760856E-17 2.68925323E-16 1.92661723E-16 1.35947879E-16 1.18237420E-15 7.35334920E-18 4.46446478E-18 4.46446478E-18 7.61306201E-18 2.59472482E-17 2.59472482E-17 3.43506639E-17 3.43506639E-17 3.43506639E-17 1.99358820E-17 9.71479713E-16 7.29118476E-17 6.07224889E-16 6.07224889E-16 1.10018255E-15 5.96105784E-16 5.96105784E-16 6.42536858E-16 1.26908400E-16 0.00000000E+00 7.84906261E-13 5.82951915E-16 2.70207065E-15 1.77386853E-15
Prostate   1.68709184E-17 8.12031109E-17 8.12031109E-17 2.27989714E-16 1.05245371E-15 6.45180450E-16 3.89569213E-16 6.67034137E-15 1.57727866E-17 9.60456739E-18 9.60456739E-18 1.48347123E-17 7.22966118E-17 7.22966118E-17 8.61522341E-17 8.61522341E-17 8.61522341E-17 5.04301071E-17 5.24328277E-16 2.12608820E-16 1.71048362E-15 1.71048362E-15 4.17014496E-16 1.97996970E-15 1.97996970E-15 2.23968251E-15 4.19642065E-16 0.00000000E+00 5.92340669E-15 2.93823146E-15 3.71448597E-14 2.70349317E-15
Uterus     0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00 0.00000000E+00
LN-Sys     9.59591563E-16 7.66272948E-15 7.66272948E-15 6.91355176E-15 6.82911706E-15 4.03732453E-15 5.08594904E-15 6.00896291E-15 3.91828282E-16 1.21831102E-15 1.21831102E-15 2.26788082E-15 4.30440735E-15 4.30440735E-15 3.49450714E-15 3.49450714E-15 3.49450714E-15 5.54353065E-15 2.10061359E-15 3.07457668E-15 1.56431706E-15 1.56431706E-15 5.80997259E-16 1.50458792E-15 1.50458792E-15 1.91363960E-15 3.34678646E-15 0.00000000E+00 1.87262388E-15 8.88679232E-15 5.81301673E-15 2.10070274E-15
Skin       7.76366660E-16 7.06752092E-16 7.06752092E-16 7.35783530E-16 7.26971559E-16 7.65487882E-16 8.44154747E-16 8.23518714E-16 1.11684519E-15 7.78433468E-16 7.78433468E-16 8.86291989E-16 7.86780807E-16 7.86780807E-16 8.01761158E-16 8.01761158E-16 8.01761158E-16 7.54993626E-16 1.06604017E-15 7.85178631E-16 9.61257827E-16 9.61257827E-16 1.07020583E-15 9.11205833E-16 9.11205833E-16 9.02313754E-16 8.21275667E-16 0.00000000E+00 2.45853982E-15 6.88230932E-16 7.44675609E-16 1.36332181E-15
Adipose    9.00198881E-16 1.55193223E-15 1.55193223E-15 1.95882097E-15 2.58350959E-15 2.23359424E-15 2.37058033E-15 2.38195578E-15 9.12615749E-16 1.08462542E-15 1.08462542E-15 1.12145945E-15 1.37396247E-15 1.37396247E-15 1.36611180E-15 1.36611180E-15 1.36611180E-15 1.56173755E-15 8.75541385E-16 1.42010515E-15 1.19735455E-15 1.19735455E-15 9.24471855E-16 1.16276356E-15 1.16276356E-15 1.27381042E-15 2.20603680E-15 0.00000000E+00 2.15092193E-15 3.12456458E-15 2.44347936E-15 1.88981410E-15
Muscle     1.12588146E-15 1.17843285E-15 1.17843285E-15 9.22485156E-16 1.18653986E-15 1.18533823E-15 1.05948727E-15 1.78915048E-15 4.04693759E-16 1.12061030E-15 1.12061030E-15 1.58075539E-15 1.14227173E-15 1.14227173E-15 1.28244615E-15 1.28244615E-15 1.28244615E-15 1.19975782E-15 1.13530226E-15 1.01489870E-15 1.54312026E-15 1.54312026E-15 1.81558640E-15 1.42611331E-15 1.42611331E-15 1.47050962E-15 1.37809608E-15 0.00000000E+00 2.55290801E-17 1.63502110E-15 1.77713416E-15 1.96885516E-15
